pair_hxy_threshold,threshold_h,threshold_alpha,divergence_lookback,divergence_threshold,Mean_Return,Std_Dev,Downside_Deviation,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Calmar_Ratio,Profit_Factor,Gross_Profit,Gross_Loss,case_number
0.35,0.05,0.1,10,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
0.35,0.05,0.1,10,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113
0.35,0.05,0.1,10,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114
0.35,0.05,0.1,10,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115
0.35,0.05,0.1,10,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116
0.35,0.05,0.1,10,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117
0.35,0.05,0.1,10,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118
0.35,0.05,0.1,10,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119
0.35,0.05,0.1,10,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120
0.35,0.05,0.15,3,0.01,-0.009184942241547396,0.22460459683141082,0.211858,-0.6492,-0.6882,11.73,-0.2005,0.3559,5.288114905513,14.858824721205387,121
0.35,0.05,0.15,3,0.02,-0.009184942241547396,0.22460459683141082,0.211858,-0.6492,-0.6882,11.73,-0.2005,0.3559,5.288114905513,14.858824721205387,122
0.35,0.05,0.15,3,0.03,-0.013703921624086363,0.2514662462579999,0.240346,-0.8651,-0.9051,15.8,-0.2199,0.268,5.22928885344926,19.50877518574725,123
0.35,0.05,0.15,3,0.04,-0.012967987232038333,0.2300467977076175,0.224866,-0.8949,-0.9155,15.1,-0.2173,0.1801,2.9674099862314227,16.480052682015366,124
0.35,0.05,0.15,3,0.05,-0.005408214882669092,0.19137411946200925,0.184781,-0.4486,-0.4646,8.06,-0.1737,0.3449,2.9674099862314227,8.602769893972617,125
0.35,0.05,0.15,3,0.06,-0.005408214882669092,0.19137411946200925,0.184781,-0.4486,-0.4646,8.06,-0.1737,0.3449,2.9674099862314227,8.602769893972617,126
0.35,0.05,0.15,3,0.07,-0.005408214882669092,0.19137411946200925,0.184781,-0.4486,-0.4646,8.06,-0.1737,0.3449,2.9674099862314227,8.602769893972617,127
0.35,0.05,0.15,3,0.08,-0.005408214882669092,0.19137411946200925,0.184781,-0.4486,-0.4646,8.06,-0.1737,0.3449,2.9674099862314227,8.602769893972617,128
0.35,0.05,0.15,3,0.09,-0.005408214882669092,0.19137411946200925,0.184781,-0.4486,-0.4646,8.06,-0.1737,0.3449,2.9674099862314227,8.602769893972617,129
0.35,0.05,0.15,3,0.1,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,130
0.35,0.05,0.15,3,0.11,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,131
0.35,0.05,0.15,3,0.12,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,132
0.35,0.05,0.15,3,0.13,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,133
0.35,0.05,0.15,3,0.14,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,134
0.35,0.05,0.15,3,0.15,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,135
0.35,0.05,0.15,4,0.01,-0.0039300284669604,0.1997583863799573,0.185407,-0.3123,-0.3365,8.52,-0.1217,0.5511,5.027182031815197,9.122271694387935,136
0.35,0.05,0.15,4,0.02,-0.0039300284669604,0.1997583863799573,0.185407,-0.3123,-0.3365,8.52,-0.1217,0.5511,5.027182031815197,9.122271694387935,137
0.35,0.05,0.15,4,0.03,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,138
0.35,0.05,0.15,4,0.04,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,139
0.35,0.05,0.15,4,0.05,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,140
0.35,0.05,0.15,4,0.06,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,141
0.35,0.05,0.15,4,0.07,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,142
0.35,0.05,0.15,4,0.08,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,143
0.35,0.05,0.15,4,0.09,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,144
0.35,0.05,0.15,4,0.1,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,145
0.35,0.05,0.15,4,0.11,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,146
0.35,0.05,0.15,4,0.12,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,147
0.35,0.05,0.15,4,0.13,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,148
0.35,0.05,0.15,4,0.14,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,149
0.35,0.05,0.15,4,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150
0.35,0.05,0.15,5,0.01,-0.013703921624086363,0.2514662462579999,0.240346,-0.8651,-0.9051,15.8,-0.2199,0.268,5.22928885344926,19.50877518574725,151
0.35,0.05,0.15,5,0.02,-0.013703921624086363,0.2514662462579999,0.240346,-0.8651,-0.9051,15.8,-0.2199,0.268,5.22928885344926,19.50877518574725,152
0.35,0.05,0.15,5,0.03,-0.011179188396603684,0.24296790809561147,0.231611,-0.7304,-0.7662,13.53,-0.2107,0.294,4.850321287499132,16.49903559676017,153
0.35,0.05,0.15,5,0.04,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,154
0.35,0.05,0.15,5,0.05,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,155
0.35,0.05,0.15,5,0.06,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,156
0.35,0.05,0.15,5,0.07,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,157
0.35,0.05,0.15,5,0.08,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,158
0.35,0.05,0.15,5,0.09,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,159
0.35,0.05,0.15,5,0.1,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,160
0.35,0.05,0.15,5,0.11,-0.0028834816551864114,0.17994514671178719,0.173266,-0.2544,-0.2642,5.59,-0.1369,0.4628,2.588442420281295,5.593030304985536,161
