pair_hxy_threshold,divergence_lookback,divergence_threshold,Mean_Return,Std_Dev,Downside_Deviation,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Calmar_Ratio,Profit_Factor,Gross_Profit,Gross_Loss,case_number
0.4,5,0.02,-0.07714878725280684,1.2963044900589547,0.836139,-0.9448,-1.4647,61.34,-0.3153,0.8022,326.01218354414436,406.4012198615691,152
0.4,5,0.03,-0.03629531374663068,1.403046332534385,0.870754,-0.4107,-0.6617,53.39,-0.2042,0.9064,366.1398778058345,403.95959472982366,153
0.4,5,0.04,-0.07535772702397397,1.364912489540904,1.033358,-0.8764,-1.1577,64.46,-0.2984,0.8174,351.6107244687202,430.1334760277012,154
0.4,5,0.05,-0.08651879069450753,1.4019019406637852,1.076288,-0.9797,-1.2761,70.61,-0.3056,0.7977,355.48934623125655,445.6419261349334,155
0.4,5,0.06,-0.07029209162810182,1.405441646104749,1.052966,-0.794,-1.0597,67.71,-0.2704,0.8329,365.1623671720002,438.40672664848233,156
0.4,5,0.07,-0.06776001243499133,1.4717157569346273,1.101924,-0.7309,-0.9762,67.5,-0.2664,0.84,370.58533834747055,441.19127130473163,157
0.4,5,0.08,-0.046144517918487636,1.4172125595049778,1.024523,-0.5169,-0.715,59.63,-0.2214,0.8815,357.6853831595217,405.7679708305857,158
0.4,5,0.09,-0.04527447160824456,1.462769635176302,1.081751,-0.4913,-0.6644,57.89,-0.2275,0.8777,338.70400579786957,385.88000521366035,159
0.4,5,0.1,-0.04979772519239753,1.4874263504935625,1.111965,-0.5315,-0.7109,58.39,-0.2439,0.8603,319.6583016750429,371.5475313255211,160
0.4,5,0.11,-0.05963098685835591,1.5686141627637626,1.178981,-0.6035,-0.8029,62.01,-0.2678,0.8266,296.15254157027607,358.2880298766829,161
0.4,5,0.12,-0.05270951209352109,1.6203482548550412,1.232185,-0.5164,-0.6791,61.05,-0.2512,0.8432,295.38798019219,350.311291793639,162
0.4,5,0.13,-0.07915418085938387,1.5354208085081997,1.214265,-0.8184,-1.0348,68.54,-0.2997,0.7379,232.21734499181136,314.69600144728935,163
0.4,5,0.14,-0.08297964465412286,1.5237786838404965,1.207505,-0.8645,-1.0909,68.84,-0.3089,0.7152,217.16795231494288,303.6327420445389,164
0.4,5,0.15,-0.05301863188910567,1.3957124056694112,1.07791,-0.603,-0.7808,60.3,-0.2433,0.7735,188.7052610250658,243.9506754535138,165
0.4,6,0.01,-0.09269777306349646,0.9887975156277787,0.726731,-1.4882,-2.0249,65.72,-0.3318,0.7416,277.1652546644436,373.75633419660693,166
0.4,6,0.02,-0.09473951937338253,1.0468874757968598,0.766215,-1.4366,-1.9628,67.16,-0.3324,0.7485,293.8317278180048,392.5503070050694,167
0.4,6,0.03,-0.07352632435674816,1.1410412390422306,0.820085,-1.0229,-1.4233,60.78,-0.3006,0.8045,315.22762642764565,391.84205640737724,168
0.4,6,0.04,-0.09297051270621398,1.3461859103615756,1.047027,-1.0963,-1.4096,68.76,-0.3301,0.7814,346.2087558851421,443.08403012501714,169
