pair_hxy_threshold,divergence_lookback,divergence_threshold,Mean_Return,Std_Dev,Downside_Deviation,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Calmar_Ratio,Profit_Factor,Gross_Profit,Gross_Loss,case_number
0.4,3,0.08,-0.05984108479344417,1.5097556958267648,1.119554,-0.6292,-0.8485,62.71,-0.2626,0.8125,270.12070375753495,332.4751141123038,128
0.4,3,0.09,-0.08675484892742495,1.4403794187377834,1.148196,-0.9561,-1.1994,69.53,-0.3131,0.7173,229.4143008830268,319.81285346540363,129
0.4,3,0.1,-0.050678372549975315,1.4361922966566683,1.109029,-0.5602,-0.7254,56.96,-0.2511,0.8079,222.11013389680704,274.9169980938813,130
0.4,3,0.11,-0.04652663332703662,1.3166024022363423,1.007174,-0.561,-0.7333,53.09,-0.2454,0.7888,181.11609301419483,229.596844940967,131
0.4,3,0.12,-0.047780046303196176,1.2638571431848413,0.982099,-0.6001,-0.7723,51.0,-0.258,0.7615,158.99142511051377,208.7782333584442,132
0.4,3,0.13,-0.04980437535959853,1.1906267261420385,0.927649,-0.664,-0.8523,52.32,-0.2561,0.7124,128.55627034867481,180.4524294733765,133
0.4,3,0.14,-0.04389694849988413,1.187262707567711,0.919706,-0.5869,-0.7577,50.37,-0.24,0.7388,129.3515653089033,175.09218564578256,134
0.4,3,0.15,-0.04268727004138572,1.1263682913680821,0.892499,-0.6016,-0.7593,49.38,-0.2363,0.7026,105.1036348808642,149.58377026398807,135
0.4,4,0.01,-0.09866810141809623,1.3195930720657274,1.074345,-1.187,-1.4579,68.4,-0.348,0.7497,307.9869456033346,410.7991072809908,136
0.4,4,0.02,-0.09708892479497126,1.3884906391400074,1.114985,-1.11,-1.3823,68.26,-0.3468,0.7674,333.7031557923983,434.86981542875844,137
0.4,4,0.03,-0.09254386514937131,1.2963814388633164,0.980147,-1.1332,-1.4988,72.78,-0.3089,0.7793,340.5598943483573,436.9906018340023,138
0.4,4,0.04,-0.11219180430468531,1.4143787161386263,1.079769,-1.2592,-1.6494,76.77,-0.3455,0.749,348.9322002651641,465.8360603506463,139
0.4,4,0.05,-0.09055479826588478,1.3609109340231476,1.001486,-1.0563,-1.4354,70.19,-0.317,0.7839,342.27511768938126,436.63321748243317,140
0.4,4,0.06,-0.09617152709947073,1.522221818623113,1.145681,-1.0029,-1.3325,72.05,-0.3304,0.7839,363.44834541088,463.6590766485284,141
0.4,4,0.07,-0.07560298039632253,1.5084547408245237,1.11975,-0.7956,-1.0718,66.47,-0.2963,0.8108,337.65774825101965,416.4360538239877,142
0.4,4,0.08,-0.08325669404613636,1.5641924587261897,1.203418,-0.8449,-1.0983,69.35,-0.3091,0.7849,316.5325158403838,403.28599103645786,143
0.4,4,0.09,-0.06930287802212808,1.4581308741771348,1.127592,-0.7545,-0.9757,62.71,-0.2917,0.787,266.85864739627254,339.07224629533005,144
0.4,4,0.1,-0.08277915193377043,1.5209234976222095,1.174184,-0.864,-1.1191,68.04,-0.3117,0.7372,242.02034412280312,328.27622043779184,145
0.4,4,0.11,-0.06944823392440336,1.4718754959774834,1.124445,-0.749,-0.9804,63.78,-0.2879,0.7546,222.52683302936833,294.89189277859657,146
0.4,4,0.12,-0.05724143492124205,1.42826255573475,1.085865,-0.6362,-0.8368,58.62,-0.2674,0.7747,205.14522688302986,264.7908020709641,147
0.4,4,0.13,-0.05626467140101446,1.3726801679695952,1.055432,-0.6507,-0.8463,57.79,-0.2648,0.7396,166.4765633422053,225.1043509420624,148
0.4,4,0.14,-0.0496180035516577,1.357666544496044,1.043884,-0.5802,-0.7545,54.05,-0.2558,0.7599,163.5929648390011,215.29492453982843,149
0.4,4,0.15,-0.040160807665195364,1.3374959440408323,1.019505,-0.4767,-0.6253,50.97,-0.2292,0.7784,147.00194541248965,188.84950699962323,150
0.4,5,0.01,-0.08500832903011094,1.2526999073868184,0.798875,-1.0772,-1.6892,63.77,-0.3264,0.7748,304.66985695996857,393.2485358093442,151
