"Date","Price","Open","High","Low","Vol.","Change %"
"04/09/2024","10.8370","11.3050","11.3230","10.7800","2.69M","-4.14%"
"04/08/2024","11.3050","11.0810","11.4100","10.9210","2.67M","2.03%"
"04/07/2024","11.0800","11.0990","11.2340","10.9390","1.49M","-0.19%"
"04/06/2024","11.1010","10.8930","11.1800","10.8440","1.00M","1.89%"
"04/05/2024","10.8950","11.0060","11.0540","10.6440","2.18M","-1.06%"
"04/04/2024","11.0120","10.8260","11.2770","10.6690","2.62M","1.73%"
"04/03/2024","10.8250","10.9630","11.2340","10.6520","2.92M","-1.27%"
"04/02/2024","10.9640","11.6310","11.6360","10.8230","3.84M","-5.73%"
"04/01/2024","11.6310","12.2780","12.3830","11.3940","3.80M","-5.39%"
"03/31/2024","12.2930","12.2460","12.4000","12.1520","1.54M","0.24%"
"03/30/2024","12.2640","12.5020","12.8400","12.2210","2.49M","-2.05%"
"03/29/2024","12.5210","12.2930","12.6180","12.0650","3.18M","1.84%"
"03/28/2024","12.2950","12.5990","12.6600","12.1700","3.20M","-2.64%"
"03/27/2024","12.6290","12.2210","13.0340","11.8320","6.50M","3.39%"
"03/26/2024","12.2150","12.1760","12.3730","11.9350","2.67M","0.28%"
"03/25/2024","12.1810","11.6130","12.2880","11.5370","2.60M","4.90%"
"03/24/2024","11.6120","11.3320","11.6740","11.2800","1.33M","2.43%"
"03/23/2024","11.3370","11.3940","11.6290","11.2440","1.53M","-0.68%"
"03/22/2024","11.4150","11.6350","11.8360","11.0970","2.94M","-1.88%"
"03/21/2024","11.6340","11.7330","11.9770","11.5150","2.92M","-1.03%"
"03/20/2024","11.7550","10.8720","11.7830","10.6990","4.95M","7.78%"
"03/19/2024","10.9060","11.7050","11.8280","10.6440","6.83M","-6.97%"
"03/18/2024","11.7230","12.2760","12.4350","11.5500","3.70M","-4.43%"
"03/17/2024","12.2670","11.9860","12.3890","11.5260","3.71M","2.82%"
"03/16/2024","11.9310","12.6310","12.8670","11.6210","5.52M","-5.54%"
"03/15/2024","12.6310","13.7020","13.8390","11.8960","7.47M","-7.66%"
"03/14/2024","13.6790","14.1350","14.2650","12.9200","7.02M","-3.10%"
"03/13/2024","14.1170","13.4050","14.1320","13.2610","4.38M","5.28%"
"03/12/2024","13.4090","13.7080","13.8200","12.7820","5.49M","-2.12%"
"03/11/2024","13.6990","13.1640","13.8610","12.6420","5.79M","3.91%"
"03/10/2024","13.1840","13.3600","13.5490","12.8730","4.03M","-1.24%"
"03/09/2024","13.3500","13.4040","13.8880","13.3020","3.80M","-0.36%"
"03/08/2024","13.3980","13.8860","13.9900","12.9150","4.51M","-3.58%"
"03/07/2024","13.8960","14.2360","14.4920","13.5530","5.82M","-2.18%"
"03/06/2024","14.2050","12.0060","14.2990","11.5380","7.73M","18.27%"
"03/05/2024","12.0110","12.4850","12.8720","10.9130","10.24M","-3.73%"
"03/04/2024","12.4770","12.1590","12.8390","12.1010","6.28M","2.57%"
"03/03/2024","12.1640","12.2000","12.2770","11.2520","3.86M","-0.30%"
"03/02/2024","12.2000","11.6320","12.2000","11.6020","4.10M","4.80%"
"03/01/2024","11.6410","11.2840","11.6410","11.2080","3.41M","3.26%"
"02/29/2024","11.2730","11.3990","12.2170","11.0060","6.00M","-1.09%"
"02/28/2024","11.3970","11.2120","11.7050","10.7190","5.74M","1.67%"
"02/27/2024","11.2100","11.1410","11.4810","10.8500","5.36M","0.62%"
"02/26/2024","11.1410","10.3860","11.1660","10.2710","4.51M","7.38%"
"02/25/2024","10.3750","10.4220","10.4490","10.2140","1.58M","-0.41%"
"02/24/2024","10.4180","9.9710","10.5750","9.7780","3.42M","4.64%"
"02/23/2024","9.9560","9.7940","10.0480","9.7060","3.07M","1.66%"
"02/22/2024","9.7930","9.9810","10.0390","9.7150","2.79M","-1.94%"
"02/21/2024","9.9870","10.3580","10.3670","9.7450","3.08M","-3.68%"
"02/20/2024","10.3690","10.7320","10.7500","10.0160","3.45M","-3.35%"
"02/19/2024","10.7280","10.5930","10.7840","10.4780","2.70M","1.27%"
"02/18/2024","10.5930","10.2710","10.6380","10.2030","2.29M","3.09%"
"02/17/2024","10.2750","10.2350","10.3310","9.8860","2.04M","0.39%"
"02/16/2024","10.2350","10.3310","10.4730","10.0110","2.56M","-0.93%"
"02/15/2024","10.3310","10.2480","10.4390","10.1010","3.57M","0.86%"
"02/14/2024","10.2430","10.3010","10.4270","10.0590","3.39M","-0.43%"
"02/13/2024","10.2870","9.9050","10.3810","9.8700","4.75M","3.77%"
"02/12/2024","9.9130","9.7440","10.0240","9.5040","3.49M","1.78%"
"02/11/2024","9.7400","9.9780","10.2550","9.6370","4.02M","-2.32%"
"02/10/2024","9.9710","10.0350","10.0940","9.9220","1.45M","-0.49%"
"02/09/2024","10.0200","9.6420","10.1940","9.6140","3.10M","3.96%"
"02/08/2024","9.6380","9.6020","9.7340","9.4540","2.16M","0.43%"
"02/07/2024","9.5970","9.1300","9.6600","9.1210","2.31M","5.17%"
"02/06/2024","9.1250","9.0610","9.2320","9.0370","1.51M","0.75%"
"02/05/2024","9.0570","8.9660","9.1770","8.8540","1.23M","1.05%"
"02/04/2024","8.9630","9.0520","9.1090","8.9500","857.72K","-0.93%"
"02/03/2024","9.0470","9.1710","9.2160","9.0470","857.48K","-1.35%"
"02/02/2024","9.1710","9.1370","9.2790","9.0950","1.39M","0.38%"
"02/01/2024","9.1360","9.1140","9.2360","8.9700","1.77M","0.32%"
"01/31/2024","9.1070","9.4260","9.4400","9.0210","2.78M","-3.22%"
"01/30/2024","9.4100","9.6640","9.7200","9.3100","1.81M","-2.58%"
"01/29/2024","9.6590","9.4340","9.6940","9.3840","1.57M","2.44%"
"01/28/2024","9.4290","9.6660","9.7680","9.3480","1.66M","-2.50%"
"01/27/2024","9.6710","9.6390","9.7320","9.4350","1.20M","0.43%"
"01/26/2024","9.6300","9.2230","9.7490","9.1680","1.37M","4.33%"
"01/25/2024","9.2300","9.3400","9.3560","9.0560","1.37M","-1.22%"
"01/24/2024","9.3440","9.2130","9.3700","9.1440","1.36M","1.24%"
