pval_threshold,divergence_lookback,divergence_threshold,Mean_Return,Std_Dev,Downside_Deviation,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Calmar_Ratio,Profit_Factor,Gross_Profit,Gross_Loss,case_number
0.01,7,0.06,-0.08909389541103657,1.4588803773617345,1.114482,-0.9695,-1.269,67.17,-0.3312,0.8067,387.46435715211067,480.30019617041074,66
0.01,7,0.07,-0.07418772446176697,1.5050048158030933,1.148056,-0.7825,-1.0258,62.49,-0.3107,0.8375,398.3000950034987,475.6037038926598,67
0.01,7,0.08,-0.0816250538438707,1.5309156698516393,1.199699,-0.8464,-1.0801,63.89,-0.3287,0.8183,383.0690644362231,468.12237054153644,68
0.01,7,0.09,-0.07459614446098596,1.5441082169537286,1.203354,-0.7669,-0.9841,61.28,-0.3203,0.8312,382.6426429264801,460.37182545482744,69
0.01,7,0.1,-0.06619913612597944,1.5055790439084202,1.159205,-0.698,-0.9066,59.95,-0.2964,0.8432,370.99303212058913,439.97253196385975,70
0.01,7,0.11,-0.06281027594287256,1.545234500815802,1.172779,-0.6453,-0.8502,58.06,-0.296,0.8505,372.1959768080791,437.64428434055225,71
0.01,7,0.12,-0.06492721871817114,1.516583117525274,1.157783,-0.6796,-0.8902,56.54,-0.3102,0.8359,344.7362083807569,412.3903702850913,72
0.01,7,0.13,-0.04453675572600041,1.59901808673986,1.171774,-0.4421,-0.6034,52.65,-0.2554,0.8838,353.08072242506654,399.48802189155884,73
0.01,7,0.14,-0.024098155228360202,1.5738404979136187,1.142152,-0.2431,-0.3349,54.5,-0.1611,0.932,344.07507061771776,369.1853483656691,74
0.01,7,0.15,0.0035819418198387103,1.5673380256081484,1.129349,0.0363,0.0503,46.63,-0.0465,1.0114,332.2764952554297,328.54411187915775,75
0.01,8,0.01,-0.11650489494513207,1.4477214090702673,1.090923,-1.2775,-1.6953,78.79,-0.348,0.7434,351.64242577151805,473.04052630434563,76
0.01,8,0.02,-0.09671656971482692,1.5247198662587833,1.123872,-1.007,-1.3661,74.92,-0.3192,0.7942,388.8545399713937,489.63320561424337,77
0.01,8,0.03,-0.08520424027584407,1.604050755703387,1.155189,-0.8432,-1.1709,73.3,-0.299,0.8223,410.89422783989266,499.6770462073222,78
0.01,8,0.04,-0.08351391162881072,1.6225675466605745,1.175719,-0.8171,-1.1276,70.83,-0.3055,0.8291,422.0765324630256,509.09802838024626,79
0.01,8,0.05,-0.08737069243961208,1.556400341164452,1.121779,-0.8911,-1.2364,70.81,-0.3132,0.8169,406.18404224999443,497.2243037720702,80
