rho_threshold,divergence_lookback,divergence_threshold,Mean_Return,Std_Dev,Downside_Deviation,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown_%,Calmar_Ratio,Profit_Factor,Gross_Profit,Gross_Loss,case_number
0.4,10,0.12,-42.77423369021115,23.533258665871365,19.519607,-1.8176,-2.1913,87.61,-0.4182,0.6951,403.2613919141568,580.1294534427283,117
0.4,10,0.13,-42.57168297950946,25.11499893515178,20.604688,-1.6951,-2.0661,87.68,-0.4192,0.7086,428.11637179655264,604.1469022118258,118
0.4,10,0.14,-44.015955984570155,26.154642419146946,21.607742,-1.6829,-2.037,88.32,-0.4285,0.7071,439.3346522834616,621.3371369498191,119
0.4,10,0.15,-43.87881099947341,26.868951959463622,22.254115,-1.6331,-1.9717,87.89,-0.431,0.7165,458.6124595073626,640.0478605448677,120
0.45,3,0.01,-26.244195608372937,11.590292345459074,9.281014,-2.2643,-2.8277,68.25,-0.3459,0.6593,209.9825773470193,318.5002433149741,121
0.45,3,0.02,-27.116218903430127,13.95219696086375,11.322647,-1.9435,-2.3949,69.75,-0.3514,0.6896,249.11231715673532,361.23573024155354,122
0.45,3,0.03,-28.197423165307946,17.253798646008224,14.15573,-1.6343,-1.9919,71.68,-0.3589,0.7198,299.5328770087658,416.12698390658676,123
0.45,3,0.04,-29.74696571350069,20.897083791960487,16.802204,-1.4235,-1.7704,75.59,-0.3625,0.7435,356.6236191254164,479.624961480447,124
0.45,3,0.05,-25.142747140049693,20.83008261342855,15.692796,-1.207,-1.6022,74.2,-0.3223,0.7928,397.71657359296466,501.67983756094793,125
0.45,3,0.06,-23.634722925586487,23.04016274606758,17.126498,-1.0258,-1.38,74.23,-0.3116,0.8187,441.42831591095717,539.1560194365966,126
0.45,3,0.07,-18.804422250189123,24.705033879475927,18.382449,-0.7612,-1.023,69.18,-0.284,0.8602,478.4135168602843,556.1683104503521,127
0.45,3,0.08,-21.902875752703057,27.24517019170162,20.597719,-0.8039,-1.0634,70.97,-0.3187,0.8487,507.9225560035586,598.4892089175133,128
0.45,3,0.09,-18.655961937369916,28.21971543795482,21.460729,-0.6611,-0.8693,74.52,-0.2723,0.8693,513.0630435436544,590.2039655227794,129
0.45,3,0.1,-18.33135565270296,29.018220532665516,22.479583,-0.6317,-0.8155,75.74,-0.2671,0.8688,501.885555980151,577.6842567345817,130
0.45,3,0.11,-11.264928617255515,27.84587309329252,20.546575,-0.4045,-0.5483,66.44,-0.2117,0.9119,481.87534306169334,528.4549288520911,131
0.45,3,0.12,-14.944904730590292,28.5832429933708,21.800436,-0.5229,-0.6855,67.63,-0.2569,0.8788,447.88535395496734,509.68134891240817,132
